
Durchschnittliche Körpermaße der Bevölkerung (Größe in m, Gewicht in kg). Gliederungsmerkmale: Jahre, Deutschland, Alter, Geschlecht
****************************************************************************************************

Diese Tabelle bezieht sich auf:
Jahr:;2017
Geschlecht:;Männlich;"Größe in m";"Gewicht in kg";
"        Unter 1 Jahr";"0,68";"7,8";
"        1 Jahr bis unter 2 Jahre";"0,84";"12,0";
"        2 bis unter 3 Jahre";"0,93";"14,4";
"        3 bis unter 4 Jahre";"1,01";"16,5";
"        4 bis unter 5 Jahre";"1,08";"18,8";
"        5 bis unter 6 Jahre";"1,15";"21,0";
"        6 bis unter 7 Jahre";"1,22";"24,0";
"        7 bis unter 8 Jahre";"1,28";"26,9";
"        8 bis unter 9 Jahre";"1,33";"30,4";
"        9 bis unter 10 Jahre";"1,39";"34,3";
"        10 bis unter 11 Jahre";"1,44";"37,9";
"        11 bis unter 12 Jahre";"1,50";"42,7";
"        12 bis unter 13 Jahre";"1,56";"47,6";
"        13 bis unter 14 Jahre";"1,64";"53,9";
"        14 bis unter 15 Jahre";"1,71";"60,1";
"        15 bis unter 16 Jahre";"1,75";"65,3";
"        16 bis unter 17 Jahre";"1,79";"70,7";
"        17 bis unter 18 Jahre";"1,80";"73,2";
"        18 Jahre und älter";"1,79";"85,0";
"          18 bis unter 20 Jahre";"1,81";"75,8";
"          20 bis unter 25 Jahre";"1,81";"79,2";
"          25 bis unter 30 Jahre";"1,81";"82,5";
"          30 bis unter 35 Jahre";"1,80";"84,4";
"          35 bis unter 40 Jahre";"1,80";"85,9";
"          40 bis unter 45 Jahre";"1,80";"87,3";
"          45 bis unter 50 Jahre";"1,80";"87,6";
"          50 bis unter 55 Jahre";"1,79";"87,8";
"          55 bis unter 60 Jahre";"1,79";"87,7";
"          60 bis unter 65 Jahre";"1,78";"87,3";
"          65 bis unter 70 Jahre";"1,76";"86,5";
"          70 bis unter 75 Jahre";"1,76";"84,8";
"          75 Jahre und älter";"1,74";"81,2";

****************************************************************************************************
Fußnoten
****************************************************************************************************

1.;Ab 2005 handelt es sich um Jahresdurchschnittsergebnisse, bis 2003 um Ergebnisse der Erhebungswoche, in der Regel die letzte feiertagsfreie Woche im April.

****************************************************************************************************
Die Tabelle wurde am 06.09.2022 16:36 Uhr unter www.gbe-bund.de erstellt.
****************************************************************************************************

Quelle(n):
MZ - Fragen zur Gesundheit, Statistisches Bundesamt, Zweigstelle Bonn
